"IUCN Red List version 2019-2: Table 6a
Last updated: 18 July 2019",,,,,,,,,,,,,
,,,,,,,,,,,,,
Table 6a: Red List Category summary country totals (Animals),,,,,,,,,,,,,
,,,,,,,,,,,,,
"IUCN Red List Categories:  EX - Extinct, EW - Extinct in the Wild, CR - Critically Endangered, EN - Endangered, VU - Vulnerable, LR/cd - Lower Risk/conservation dependent, NT - Near Threatened (includes LR/nt - Lower Risk/near threatened), DD - Data Deficient, LC - Least Concern (includes LR/lc - Lower Risk, least concern).",,,,,,,,,,,,,
AFRICA,,,,,,,,,,,,,
North Africa,EX,EW,Subtotal,CR,EN,VU,Subtotal,NT,LR/cd,DD,LC,Total,
Sao Tome and Principe,0,0,0,6,18,31,55,18,0,101,730,904,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Senegal,0,1,1,14,26,79,119,64,0,158,"1,833","2,175",
Seychelles,20,0,20,84,154,147,385,120,2,110,"1,488","2,125",
Sierra Leone,0,0,0,13,33,72,118,74,0,146,"1,818","2,156",
Somalia,0,0,0,11,25,102,138,143,0,179,"2,158","2,618",
South Africa,6,0,6,68,142,240,450,189,2,333,"3,233","4,213",
South Sudan,0,0,0,5,11,24,40,21,0,22,"1,104","1,187",
Sudan,0,1,1,14,20,98,132,129,0,129,"2,070","2,461",
"Tanzania, United Republic of",2,1,3,122,139,252,513,217,0,350,"3,774","4,857",
Togo,0,0,0,12,12,53,77,46,0,109,"1,733","1,965",
Uganda,0,0,0,48,32,76,156,59,0,125,"1,793","2,133",
Zambia,0,0,0,10,21,39,70,43,0,69,"1,763","1,945",
Zimbabwe,0,0,0,9,13,29,51,32,0,25,"1,285","1,393",
,,,,,,,,,,,,,
ANTARCTIC,,,,,,,,,,,,,
Antarctic,EX,EW,Subtotal,CR,EN,VU,Subtotal,NT,LR/cd,DD,LC,Total,
Antarctica,0,0,0,0,1,5,6,6,0,35,155,202,
Bouvet Island,0,0,0,0,0,3,3,0,0,3,89,95,
French Southern Territories,1,0,1,2,11,15,28,8,0,48,854,939,
Heard Island and McDonald Islands,0,0,0,0,4,8,12,2,0,8,115,137,
South Georgia and the South Sandwich Islands,0,0,0,0,4,5,9,6,0,11,183,209,
,,,,,,,,,,,,,
ASIA,,,,,,,,,,,,,
East Asia,EX,EW,Subtotal,CR,EN,VU,Subtotal,NT,LR/cd,DD,LC,Total,
China,4,1,5,85,152,283,520,232,1,962,"3,997","5,717",
Hong Kong,0,0,0,8,19,33,60,29,1,93,811,994,
Japan,13,1,14,37,120,242,399,261,3,499,"3,048","4,224",
"Korea, Democratic People's Republic of",1,0,1,7,17,42,66,35,0,85,666,853,
"Korea, Republic of",1,0,1,9,27,54,90,44,0,121,"1,161","1,417",
Macao,0,0,0,1,7,8,16,4,0,24,282,326,
Mongolia,0,0,0,5,11,24,40,29,0,7,518,594,
"Taiwan, Province of China",0,0,0,15,49,199,263,209,2,307,"2,728","3,509",
,,,,,,,,,,,,,
North Asia,EX,EW,Subtotal,CR,EN,VU,Subtotal,NT,LR/cd,DD,LC,Total,
Belarus,0,0,0,2,2,21,25,39,0,8,466,538,
Moldova,1,0,1,5,4,22,31,35,0,6,436,509,
Russian Federation,3,1,4,26,47,104,177,110,0,220,"1,591","2,102",
Ukraine,2,0,2,11,25,55,91,68,0,75,867,"1,103",
,,,,,,,,,,,,,
South & Southeast Asia,EX,EW,Subtotal,CR,EN,VU,Subtotal,NT,LR/cd,DD,LC,Total,
Bangladesh,0,1,1,26,40,69,135,78,0,98,"1,526","1,838",
Bhutan,0,0,0,7,14,35,56,41,0,6,698,801,
British Indian Ocean Territory,0,0,0,1,11,75,87,104,2,44,976,"1,213",
Brunei Darussalam,0,0,0,11,24,70,105,120,0,86,"1,370","1,681",
Cambodia,0,0,0,30,50,153,233,168,0,186,"2,014","2,601",
Disputed Territory,0,0,0,0,1,7,8,2,0,27,912,949,
India,0,0,0,89,206,387,682,324,2,821,"4,109","5,938",
Indonesia,2,0,2,148,241,574,963,573,4,"1,114","5,510","8,166",
Lao People's Democratic Republic,1,0,1,33,52,100,185,93,0,220,"1,506","2,005",
Malaysia,1,0,1,89,138,398,625,404,3,469,"3,740","5,242",
Maldives,0,0,0,4,15,60,79,92,2,69,"1,242","1,484",
Myanmar,0,0,0,34,71,169,274,260,3,420,"3,065","4,022",
Nepal,0,0,0,14,22,52,88,69,0,65,"1,266","1,488",
Philippines,0,0,0,48,105,371,524,330,5,519,"3,328","4,706",
Singapore,1,0,1,19,31,200,250,222,3,151,"1,692","2,319",
Sri Lanka,20,0,20,69,99,136,304,169,8,167,"1,876","2,544",
Thailand,2,0,2,52,103,332,487,365,2,528,"3,765","5,149",
Timor-Leste,0,0,0,7,12,13,32,32,0,56,"1,214","1,334",
Viet Nam,1,0,1,65,132,267,464,255,2,643,"3,190","4,555",
,,,,,,,,,,,,,
West & Central Asia,EX,EW,Subtotal,CR,EN,VU,Subtotal,NT,LR/cd,DD,LC,Total,
Afghanistan,0,0,0,4,8,23,35,27,0,17,570,649,
Armenia,0,0,0,6,9,28,43,38,0,16,458,555,
Azerbaijan,0,1,1,13,10,33,56,41,0,39,557,694,
Bahrain,0,0,0,8,10,28,46,51,0,29,603,729,
Cyprus,0,0,0,8,19,32,59,37,0,64,646,806,
Georgia,0,0,0,7,10,40,57,46,0,21,575,699,
"Iran, Islamic Republic of",0,1,1,21,33,88,142,99,0,146,"1,575","1,963",
Iraq,0,0,0,10,16,49,75,68,0,41,891,"1,075",
Israel,4,0,4,18,41,118,177,135,0,138,"1,522","1,976",
Jordan,0,0,0,4,24,88,116,117,0,84,"1,179","1,496",
Kazakhstan,0,1,1,14,13,39,66,38,0,51,689,845,
Kuwait,1,0,1,6,14,36,56,55,0,32,709,853,
Kyrgyzstan,0,0,0,1,7,22,30,24,0,12,418,484,
Lebanon,0,0,0,6,24,45,75,41,0,69,713,898,
Oman,0,0,0,9,27,66,102,91,0,120,"1,464","1,777",
Pakistan,0,0,0,17,35,84,136,97,0,82,"1,567","1,882",
"Palestine, State of",0,0,0,3,11,15,29,23,0,20,358,430,
Qatar,0,0,0,9,9,32,50,54,0,22,627,753,
Saudi Arabia,1,0,1,10,26,101,137,141,2,140,"1,502","1,923",
Syrian Arab Republic,1,0,1,15,34,64,113,53,0,88,842,"1,097",
Tajikistan,0,0,0,3,7,25,35,20,0,20,423,498,
Turkey,4,0,4,65,103,126,294,105,0,191,"1,277","1,871",
Turkmenistan,0,1,1,11,12,32,55,28,0,35,544,663,
United Arab Emirates,0,0,0,8,18,38,64,59,0,55,984,"1,162",
Uzbekistan,0,0,0,9,8,29,46,27,0,19,467,559,
Yemen,2,0,2,8,28,110,146,152,0,169,"1,767","2,236",
,,,,,,,,,,,,,
EUROPE,,,,,,,,,,,,,
Europe,EX,EW,Subtotal,CR,EN,VU,Subtotal,NT,LR/cd,DD,LC,Total,
Åland Islands,0,0,0,0,0,0,0,0,0,1,15,16,
Albania,1,0,1,15,46,71,132,89,0,79,"1,033","1,334",
Andorra,0,0,0,0,3,11,14,20,0,8,307,349,
Austria,3,0,3,23,28,51,102,82,0,67,834,"1,088",
Belgium,1,0,1,4,4,30,38,49,0,41,689,818,
Bosnia and Herzegovina,0,0,0,6,27,59,92,69,0,88,894,"1,143",
Bulgaria,0,0,0,15,18,73,106,86,0,72,927,"1,191",
Croatia,1,0,1,30,38,104,172,100,0,123,"1,193","1,589",
Czechia,0,0,0,3,9,31,43,55,0,40,690,828,
Denmark,0,0,0,6,7,33,46,45,0,35,669,795,
Estonia,0,0,0,2,4,16,22,30,0,9,502,563,
Faroe Islands,1,0,1,2,3,18,23,12,0,21,292,349,
Finland,0,0,0,4,3,22,29,39,0,15,525,608,
France,7,0,7,24,59,161,244,160,0,296,"1,873","2,580",
Germany,4,0,4,16,26,60,102,85,0,85,919,"1,195",
Gibraltar,0,0,0,2,6,24,32,20,0,39,525,616,
Greece,4,0,4,74,108,250,432,163,0,263,"1,515","2,377",
Greenland,1,0,1,1,6,17,24,9,0,21,207,262,
Guernsey,0,0,0,1,0,5,6,3,0,13,189,211,
Holy See (Vatican City State),0,0,0,0,0,1,1,4,0,2,23,30,
Hungary,0,0,0,5,14,41,60,55,0,48,678,841,
Iceland,1,0,1,3,7,19,29,19,0,31,345,425,
Ireland,1,0,1,8,9,33,50,33,0,71,753,908,
Isle of Man,0,0,0,1,0,1,2,1,0,7,75,85,
Italy,2,0,2,44,93,176,313,198,0,264,"1,599","2,376",
Jersey,0,0,0,1,0,6,7,2,0,13,195,217,
Latvia,0,0,0,2,4,24,30,40,0,17,542,629,
Liechtenstein,0,0,0,0,1,7,8,24,0,7,388,427,
Lithuania,0,0,0,2,3,21,26,35,0,16,526,603,
Luxembourg,0,0,0,2,3,6,11,24,0,13,441,489,
Malta,0,0,0,5,6,25,36,26,0,41,558,661,
Monaco,0,0,0,3,3,16,22,10,0,26,386,444,
Montenegro,1,0,1,13,29,55,97,87,0,82,968,"1,235",
Netherlands,1,0,1,6,3,31,40,50,0,40,737,868,
North Macedonia,2,0,2,19,34,67,120,60,0,50,714,946,
Norway,0,0,0,5,9,39,53,47,0,32,648,780,
Poland,1,0,1,2,12,37,51,59,0,35,739,885,
Portugal,6,0,6,93,85,128,306,118,0,280,"1,660","2,370",
Romania,2,0,2,17,26,75,118,76,0,74,912,"1,182",
San Marino,0,0,0,0,0,1,1,5,0,4,65,75,
Serbia,0,0,0,9,11,50,70,67,0,30,814,981,
Slovakia,0,0,0,5,11,37,53,62,0,45,708,868,
Slovenia,0,0,0,6,24,106,136,58,0,85,"1,066","1,345",
Spain,2,0,2,70,131,229,430,277,0,506,"2,142","3,357",
Svalbard and Jan Mayen,0,0,0,0,1,9,10,7,0,4,75,96,
Sweden,0,0,0,4,6,34,44,52,0,34,667,797,
Switzerland,6,0,6,3,15,51,69,71,0,59,763,968,
United Kingdom,2,0,2,11,18,57,86,59,0,81,965,"1,193",
,,,,,,,,,,,,,
NORTH & CENTRAL AMERICA,,,,,,,,,,,,,
Mesoamerica,EX,EW,Subtotal,CR,EN,VU,Subtotal,NT,LR/cd,DD,LC,Total,
Belize,1,0,1,7,19,59,85,62,0,103,"2,016","2,267",
Costa Rica,3,0,3,31,57,119,207,101,0,251,"3,162","3,724",
El Salvador,0,0,0,3,21,36,60,49,0,99,"1,539","1,747",
Guatemala,1,0,1,38,65,95,198,84,0,186,"2,683","3,152",
Honduras,3,0,3,43,58,83,184,86,0,179,"2,881","3,333",
Mexico,21,9,30,210,308,331,849,210,1,642,"4,688","6,420",
Nicaragua,1,0,1,9,25,70,104,76,0,196,"2,797","3,174",
Panama,0,0,0,32,53,98,183,106,0,331,"3,271","3,891",
,,,,,,,,,,,,,
Caribbean Islands,EX,EW,Subtotal,CR,EN,VU,Subtotal,NT,LR/cd,DD,LC,Total,
Anguilla,1,0,1,6,13,34,53,20,0,71,"1,140","1,285",
Antigua and Barbuda,3,0,3,8,11,36,55,27,0,76,"1,260","1,421",
Aruba,0,0,0,2,6,27,35,19,0,58,"1,080","1,192",
Bahamas,2,0,2,12,17,54,83,35,0,139,"1,669","1,928",
Barbados,1,0,1,10,9,36,55,29,0,76,"1,265","1,426",
Bermuda,5,0,5,27,10,30,67,24,0,74,926,"1,096",
Cayman Islands,1,0,1,8,16,32,56,29,0,75,"1,159","1,320",
Cuba,7,0,7,34,59,81,174,58,0,150,"1,718","2,107",
Curaçao,0,0,0,5,11,34,50,17,0,75,"1,081","1,223",
Dominica,1,0,1,7,14,37,58,28,0,80,"1,291","1,458",
Dominican Republic,9,0,9,28,57,66,151,51,0,87,"1,436","1,734",
Grenada,0,0,0,6,12,35,53,23,0,77,"1,219","1,372",
Guadeloupe,7,0,7,10,17,42,69,31,0,79,"1,208","1,394",
Haiti,10,0,10,53,51,65,169,51,0,83,"1,382","1,695",
Jamaica,3,0,3,22,35,49,106,41,0,88,"1,303","1,541",
"Bonaire, Sint Eustatius and Saba",1,0,1,6,9,40,55,20,0,78,"1,185","1,339",
Martinique,6,0,6,8,10,29,47,25,0,67,"1,193","1,338",
Montserrat,0,0,0,7,10,36,53,21,0,63,"1,159","1,296",
Puerto Rico,5,0,5,15,21,40,76,37,0,90,"1,464","1,672",
Saint Barthélemy,0,0,0,4,10,25,39,11,0,39,797,886,
Saint Kitts and Nevis,1,0,1,7,10,36,53,26,0,73,"1,217","1,370",
Saint Lucia,3,0,3,7,16,36,59,28,0,68,"1,263","1,421",
Saint Martin (French part),0,0,0,7,11,35,53,15,0,70,"1,025","1,163",
Saint Vincent and the Grenadines,1,0,1,6,13,36,55,26,0,73,"1,280","1,435",
Sint Maarten (Dutch part),0,0,0,7,11,35,53,14,0,62,"1,005","1,134",
Trinidad and Tobago,0,0,0,8,14,48,70,37,1,94,"1,849","2,051",
Turks and Caicos Islands,0,0,0,6,11,37,54,25,0,69,"1,179","1,327",
"Virgin Islands, British",0,0,0,12,12,38,62,25,0,78,"1,240","1,405",
"Virgin Islands, U.S.",1,0,1,9,12,29,50,26,0,76,"1,213","1,366",
,,,,,,,,,,,,,
North America,EX,EW,Subtotal,CR,EN,VU,Subtotal,NT,LR/cd,DD,LC,Total,
Canada,9,0,9,15,33,83,131,66,0,94,"1,843","2,143",
Saint Pierre and Miquelon,0,0,0,1,4,11,16,15,0,18,388,437,
United States,237,4,241,214,284,562,"1,060",342,5,648,"5,453","7,749",
,,,,,,,,,,,,,
SOUTH AMERICA,,,,,,,,,,,,,
South America,EX,EW,Subtotal,CR,EN,VU,Subtotal,NT,LR/cd,DD,LC,Total,
Argentina,3,3,6,31,56,117,204,125,0,186,"2,071","2,592",
"Bolivia, Plurinational States of",0,0,0,21,29,82,132,99,2,132,"2,199","2,564",
Brazil,9,1,10,81,126,268,475,228,9,689,"4,417","5,828",
Chile,1,0,1,18,52,78,148,77,0,222,"1,208","1,656",
Colombia,1,0,1,108,206,322,636,250,2,643,"4,943","6,475",
Ecuador,8,0,8,98,147,266,511,205,2,405,"3,270","4,401",
Falkland Islands (Malvinas),1,0,1,0,6,11,17,12,0,19,261,310,
French Guiana,0,0,0,4,10,45,59,48,1,104,"1,973","2,185",
Guyana,0,0,0,4,22,58,84,60,2,121,"2,156","2,423",
Paraguay,0,3,3,6,9,29,44,56,0,33,"1,025","1,161",
Peru,1,0,1,45,145,203,393,199,2,491,"3,624","4,710",
Suriname,0,0,0,2,11,45,58,56,0,104,"2,032","2,250",
Uruguay,2,0,2,10,20,58,88,51,0,75,921,"1,137",
"Venezuela, Bolivarian Republic of",1,0,1,33,82,142,257,122,1,347,"3,521","4,249",
,,,,,,,,,,,,,
OCEANIA,,,,,,,,,,,,,
Oceania,EX,EW,Subtotal,CR,EN,VU,Subtotal,NT,LR/cd,DD,LC,Total,
American Samoa,1,0,1,2,17,75,94,83,3,59,"1,162","1,402",
Australia,40,0,40,110,201,597,908,443,3,623,"5,369","7,386",
Christmas Island,4,2,6,2,9,30,41,29,0,32,855,963,
Cocos (Keeling) Islands,0,0,0,0,8,29,37,26,0,35,770,868,
Cook Islands,15,0,15,0,12,52,64,51,1,51,935,"1,117",
Fiji,1,0,1,26,43,153,222,156,3,123,"1,684","2,189",
French Polynesia,59,11,70,38,24,67,129,63,2,103,"1,196","1,563",
Guam,5,2,7,6,21,71,98,90,2,109,"1,129","1,435",
Kiribati,1,0,1,0,13,92,105,118,3,62,"1,171","1,460",
Marshall Islands,0,0,0,0,10,91,101,119,3,65,"1,239","1,527",
"Micronesia, Federated States of",2,0,2,4,23,136,163,146,3,127,"1,528","1,969",
Nauru,0,0,0,0,7,76,83,111,0,44,952,"1,190",
New Caledonia,5,0,5,37,48,158,243,155,3,182,"2,020","2,608",
New Zealand,23,0,23,40,73,110,223,65,0,208,980,"1,499",
Niue,0,0,0,0,10,43,53,53,0,38,814,958,
Norfolk Island,8,0,8,2,9,33,44,29,0,25,554,660,
Northern Mariana Islands,2,0,2,7,18,71,96,89,3,73,"1,195","1,458",
Palau,1,0,1,27,30,124,181,145,4,110,"1,730","2,171",
Papua New Guinea,1,0,1,22,51,271,344,258,3,463,"3,497","4,566",
Pitcairn,0,0,0,0,7,28,35,25,1,31,484,576,
Samoa,0,0,0,3,17,73,93,86,3,79,"1,258","1,519",
Solomon Islands,2,0,2,12,29,186,227,195,3,141,"2,052","2,620",
Tokelau,0,0,0,0,7,44,51,57,2,39,827,976,
Tonga,2,0,2,3,14,58,75,68,3,61,"1,325","1,534",
Tuvalu,0,0,0,0,11,87,98,114,3,50,"1,010","1,275",
United States Minor Outlying Islands,1,0,1,3,6,62,71,73,1,52,"1,139","1,337",
Vanuatu,1,0,1,1,20,109,130,137,3,96,"1,656","2,023",
Wallis and Futuna,0,0,0,2,9,77,88,94,0,51,"1,110","1,343",
