Country,code,CONTINENT,Mammals,Birds,Reptiles,Amphibians,Fishes,Molluscs,Other Inverts*,Plants,Fungi & Protists*,Total
Eswatini,NA,AFRICA,9,13,1,0,5,0,0,13,0,41
Ethiopia,ETH,AFRICA,36,35,3,12,13,4,11,64,0,178
Falkland Islands (Malvinas),FLK,SOUTH AMERICA,4,8,0,0,5,0,0,5,1,23
Faroe Islands,NA,EUROPE,4,6,0,0,13,0,0,1,3,27
Fiji,FJI,OCEANIA,7,14,15,1,20,68,97,78,0,300
Finland,FIN,EUROPE,2,11,0,0,6,3,7,4,17,50
France,FRA,EUROPE,10,16,5,2,51,92,68,62,36,342
French Guiana,NA,SOUTH AMERICA,8,8,7,6,30,0,0,18,0,77
French Polynesia,NA,OCEANIA,0,35,3,0,29,31,31,48,0,177
French Southern Territories,ATF,ANTARCTICA,3,13,4,0,8,0,0,1,0,29
Gabon,GAB,AFRICA,17,7,7,4,71,2,2,181,0,291
Gambia,GMB,AFRICA,10,14,6,0,38,2,0,6,0,76
Georgia,GEO,ASIA,9,14,7,1,11,4,11,64,4,125
Germany,DEU,EUROPE,5,11,0,0,25,31,30,51,32,185
Ghana,GHA,AFRICA,23,23,8,7,59,2,3,121,0,246
Gibraltar,NA,EUROPE,3,6,0,0,18,3,2,1,0,33
Greece,GRC,EUROPE,10,17,10,5,82,178,130,76,4,512
Greenland,GRL,EUROPE,9,6,0,0,9,0,0,1,0,25
Grenada,NA,NORTH AMERICA,3,2,7,1,30,0,10,3,0,56
Guadeloupe,NA,NORTH AMERICA,4,5,9,3,32,1,15,10,0,79
Guam,NA,OCEANIA,3,14,5,0,16,6,54,5,0,103
Guatemala,GTM,NORTH AMERICA,15,17,32,77,44,2,11,122,1,321
Guernsey,NA,EUROPE,0,0,0,0,6,0,0,0,0,6
Guinea,GIN,AFRICA,31,20,9,8,76,3,5,175,0,327
Guinea-Bissau,GNB,AFRICA,14,12,8,0,41,2,0,10,0,87
Guyana,GUY,SOUTH AMERICA,11,16,6,17,33,0,1,33,0,117
Haiti,HTI,NORTH AMERICA,4,17,54,49,31,0,14,94,0,263
Heard Island and McDonald Islands,NA,ANTARCTICA,1,10,0,0,1,0,0,0,0,12
Holy See (Vatican City State),NA,EUROPE,1,0,0,0,0,0,0,0,0,1
Honduras,HND,NORTH AMERICA,8,14,40,55,46,0,21,134,0,318
Hong Kong,NA,ASIA,4,21,5,5,16,1,8,10,0,70
Hungary,HUN,EUROPE,4,13,1,0,9,8,25,45,14,119
Iceland,ISL,EUROPE,6,7,0,0,16,0,0,0,2,31
India,IND,ASIA,93,93,54,75,231,7,129,399,0,"1,081"
Indonesia,IDN,ASIA,192,160,37,30,208,42,294,509,0,"1,472"
"Iran, Islamic Republic of",IRN,ASIA,19,28,15,4,52,2,22,10,0,152
Iraq,IRQ,ASIA,13,17,3,1,24,1,16,3,0,78
Ireland,IRL,EUROPE,5,9,1,0,29,4,2,8,13,71
Isle of Man,NA,EUROPE,0,0,0,0,2,0,0,1,0,3
Israel,ISR,ASIA,15,18,11,1,58,11,63,27,1,205
Italy,ITA,EUROPE,8,17,4,9,53,83,139,118,27,458
Jamaica,JAM,NORTH AMERICA,7,11,27,15,31,0,15,215,0,321
Japan,JPN,ASIA,29,49,25,20,100,33,143,50,10,459
Jersey,NA,EUROPE,0,0,0,0,6,1,0,0,0,7
Jordan,JOR,ASIA,13,14,6,0,22,6,55,8,0,124
Kazakhstan,KAZ,ASIA,16,27,1,1,14,2,5,14,1,81
Kenya,KEN,AFRICA,30,44,14,11,77,20,72,248,0,516
Kiribati,NA,OCEANIA,2,6,2,0,14,1,80,0,0,105
"Korea, Democratic People's Republic of",KOR,ASIA,10,29,2,1,21,0,3,17,0,83
"Korea, Republic of",PRK,ASIA,12,33,3,5,29,0,8,33,2,125
Kuwait,KWT,ASIA,7,11,4,0,21,0,13,0,0,56
Kyrgyzstan,KGZ,ASIA,5,15,3,0,3,0,4,13,0,43
Lao People's Democratic Republic,LAO,ASIA,46,29,28,6,55,16,5,58,0,243
Latvia,LVA,EUROPE,1,11,0,0,6,4,8,1,4,35
Lebanon,LBN,ASIA,10,11,8,0,28,9,9,29,0,104
Lesotho,LSO,AFRICA,4,8,0,0,1,0,3,4,0,20
Liberia,LBR,AFRICA,25,14,8,3,64,3,7,83,0,207
Libya,LBY,AFRICA,10,8,6,0,33,0,4,8,0,69
Liechtenstein,NA,EUROPE,0,2,0,0,0,2,4,1,3,12
Lithuania,LTU,EUROPE,2,10,0,0,6,3,5,2,7,35
Luxembourg,LUX,EUROPE,0,3,0,0,1,5,2,3,2,16
Macao,NA,ASIA,0,4,1,0,10,0,1,0,0,16
Madagascar,NA,AFRICA,121,37,139,145,112,35,160,1624,0,"2,373"
