Countries,code,CONTINENT,EW,Subtotal,CR,EN,VU,Subtotal,NT,LR/cd,DD,LC,Total
Namibia,NEP,AFRICA,0,1,8,25,55,88,50,0,108,"1,735","1,982"
Nauru,NLD,OCEANIA,0,0,0,7,76,83,111,0,44,952,"1,190"
Nepal,NCL,ASIA,0,0,14,22,52,88,69,0,65,"1,266","1,488"
Netherlands,NZL,EUROPE,0,1,6,3,31,40,50,0,40,737,868
New Caledonia,NIC,OCEANIA,0,5,37,48,158,243,155,3,182,"2,020","2,608"
New Zealand,NER,OCEANIA,0,23,40,73,110,223,65,0,208,980,"1,499"
Nicaragua,NGA,NORTH AMERICA,0,1,9,25,70,104,76,0,196,"2,797","3,174"
Niger,NA,AFRICA,1,1,5,5,23,33,23,0,5,722,784
Nigeria,NA,AFRICA,1,1,21,39,104,164,75,0,153,"2,426","2,819"
Niue,MKD,OCEANIA,0,0,0,10,43,53,53,0,38,814,958
Norfolk Island,NA,OCEANIA,0,8,2,9,33,44,29,0,25,554,660
North Macedonia,NOR,EUROPE,0,2,19,34,67,120,60,0,50,714,946
Northern Mariana Islands,OMN,OCEANIA,0,2,7,18,71,96,89,3,73,"1,195","1,458"
Norway,PAK,EUROPE,0,0,5,9,39,53,47,0,32,648,780
Oman,NA,ASIA,0,0,9,27,66,102,91,0,120,"1,464","1,777"
Pakistan,NA,ASIA,0,0,17,35,84,136,97,0,82,"1,567","1,882"
Palau,PAN,OCEANIA,0,1,27,30,124,181,145,4,110,"1,730","2,171"
"Palestine, State of",PNG,ASIA,0,0,3,11,15,29,23,0,20,358,430
Panama,PRY,NORTH AMERICA,0,0,32,53,98,183,106,0,331,"3,271","3,891"
Papua New Guinea,PER,OCEANIA,0,1,22,51,271,344,258,3,463,"3,497","4,566"
Paraguay,PHL,SOUTH AMERICA,3,3,6,9,29,44,56,0,33,"1,025","1,161"
Peru,NA,SOUTH AMERICA,0,1,45,145,203,393,199,2,491,"3,624","4,710"
Philippines,POL,ASIA,0,0,48,105,371,524,330,5,519,"3,328","4,706"
Pitcairn,PRT,OCEANIA,0,0,0,7,28,35,25,1,31,484,576
Poland,PRI,EUROPE,0,1,2,12,37,51,59,0,35,739,885
Portugal,QAT,EUROPE,0,6,93,85,128,306,118,0,280,"1,660","2,370"
Puerto Rico,NA,CARIBBEAN ISLANDS,0,5,15,21,40,76,37,0,90,"1,464","1,672"
Qatar,ROU,ASIA,0,0,9,9,32,50,54,0,22,627,753
Réunion,RUS,AFRICA,0,20,7,24,87,118,100,0,89,"1,198","1,525"
Romania,RWA,EUROPE,0,2,17,26,75,118,76,0,74,912,"1,182"
Russian Federation,NA,ASIA,1,4,26,47,104,177,110,0,220,"1,591","2,102"
Rwanda,NA,AFRICA,0,1,11,11,34,56,34,0,19,"1,003","1,113"
Saint Barthélemy,NA,CARIBBEAN ISLANDS,0,0,4,10,25,39,11,0,39,797,886
"Saint Helena, Ascension and Tristan da Cunha",NA,AFRICA,0,28,31,44,36,111,13,0,55,579,786
Saint Kitts and Nevis,NA,CARIBBEAN ISLANDS,0,1,7,10,36,53,26,0,73,"1,217","1,370"
Saint Lucia,NA,CARIBBEAN ISLANDS,0,3,7,16,36,59,28,0,68,"1,263","1,421"
Saint Martin (French part),NA,CARIBBEAN ISLANDS,0,0,7,11,35,53,15,0,70,"1,025","1,163"
Saint Pierre and Miquelon,NA,NORTH AMERICA,0,0,1,4,11,16,15,0,18,388,437
Saint Vincent and the Grenadines,NA,CARIBBEAN ISLANDS,0,1,6,13,36,55,26,0,73,"1,280","1,435"
Samoa,NA,OCEANIA,0,0,3,17,73,93,86,3,79,"1,258","1,519"
San Marino,SAU,EUROPE,0,0,0,0,1,1,5,0,4,65,75
Sao Tome and Principe,SEN,AFRICA,0,0,6,18,31,55,18,0,101,730,904
Saudi Arabia,SRB,ASIA,0,1,10,26,101,137,141,2,140,"1,502","1,923"
Senegal,NA,AFRICA,1,1,14,26,79,119,64,0,158,"1,833","2,175"
Serbia,SLE,EUROPE,0,0,9,11,50,70,67,0,30,814,981
Seychelles,NA,AFRICA,0,20,84,154,147,385,120,2,110,"1,488","2,125"
Sierra Leone,NA,AFRICA,0,0,13,33,72,118,74,0,146,"1,818","2,156"
Singapore,SVK,ASIA,0,1,19,31,200,250,222,3,151,"1,692","2,319"
Sint Maarten (Dutch part),SVN,CARIBBEAN ISLANDS,0,0,7,11,35,53,14,0,62,"1,005","1,134"
Slovakia,SLB,EUROPE,0,0,5,11,37,53,62,0,45,708,868
Slovenia,SOM,EUROPE,0,0,6,24,106,136,58,0,85,"1,066","1,345"
Solomon Islands,ZAF,OCEANIA,0,2,12,29,186,227,195,3,141,"2,052","2,620"
Somalia,NA,AFRICA,0,0,11,25,102,138,143,0,179,"2,158","2,618"
South Africa,SDS,AFRICA,0,6,68,142,240,450,189,2,333,"3,233","4,213"
South Georgia and the South Sandwich Islands,ESP,ANTARCTICA,0,0,0,4,5,9,6,0,11,183,209
South Sudan,LKA,AFRICA,0,0,5,11,24,40,21,0,22,"1,104","1,187"
Spain,SDN,EUROPE,0,2,70,131,229,430,277,0,506,"2,142","3,357"
Sri Lanka,SUR,ASIA,0,20,69,99,136,304,169,8,167,"1,876","2,544"
Sudan,NA,AFRICA,1,1,14,20,98,132,129,0,129,"2,070","2,461"
Suriname,SWE,SOUTH AMERICA,0,0,2,11,45,58,56,0,104,"2,032","2,250"
Svalbard and Jan Mayen,CHE,EUROPE,0,0,0,1,9,10,7,0,4,75,96
Sweden,SYR,EUROPE,0,0,4,6,34,44,52,0,34,667,797
Switzerland,TWN,EUROPE,0,6,3,15,51,69,71,0,59,763,968
Syrian Arab Republic,TJK,ASIA,0,1,15,34,64,113,53,0,88,842,"1,097"
"Taiwan, Province of China",TZA,ASIA,0,0,15,49,199,263,209,2,307,"2,728","3,509"
Tajikistan,THA,ASIA,0,0,3,7,25,35,20,0,20,423,498
"Tanzania, United Republic of",TLS,AFRICA,1,3,122,139,252,513,217,0,350,"3,774","4,857"
Thailand,TGO,ASIA,0,2,52,103,332,487,365,2,528,"3,765","5,149"
Timor-Leste,NA,ASIA,0,0,7,12,13,32,32,0,56,"1,214","1,334"
Togo,NA,AFRICA,0,0,12,12,53,77,46,0,109,"1,733","1,965"
Tokelau,TTO,OCEANIA,0,0,0,7,44,51,57,2,39,827,976
Tonga,TUN,OCEANIA,0,2,3,14,58,75,68,3,61,"1,325","1,534"
Trinidad and Tobago,TUR,CARIBBEAN ISLANDS,0,0,8,14,48,70,37,1,94,"1,849","2,051"
Tunisia,TKM,AFRICA,0,11,12,24,55,91,47,0,99,843,"1,091"
Turkey,NA,ASIA,0,4,65,103,126,294,105,0,191,"1,277","1,871"
